label,value,parent
2020,34,CRIMINAL MISCHIEF BY ARSON
2020,34,CIVIL DISTURBANCE/DEMO
2020,33,INTERFERENCE PUBLIC DUTIES
2018,33,POSS DANG DRUG
2018,33,OBTAIN CONTROLLED SUB BY FRAUD
2018,33,LIQUOR LAW VIOLATION/OTHER
2020,32,THEFT OF HEAVY EQUIPMENT
2018,32,FORGERY BY MAKING
2020,32,ABUSE OF 911
2019,32,RETALIATION
2019,32,ONLINE SOLICITATION OF A MINOR
2019,31,TAMPERING WITH EVIDENCE
2019,31,DOC DISCHARGE GUN - PUB ROAD
2020,31,AGG ASSAULT ON PUBLIC SERVANT
2018,31,ONLINE SOLICITATION OF A MINOR
2020,31,SEXTING/TRANSMIT SEXUAL PHOTOS
2019,29,LIQUOR LAW VIOLATION/OTHER
2019,29,ABUSE OF 911
2020,28,CRIMINAL TRESPASS/IN VEHICLE
2018,28,TAMPERING WITH EVIDENCE
2019,28,POCKET PICKING
2018,28,DUI - AGE 17 TO 20
2019,27,CRIMINAL MISCHIEF BY ARSON
2020,27,DOC UNREASONABLE NOISE
2019,27,CRASH/INTOXICATION ASSAULT
2020,26,LIQUOR LAW VIOLATION/OTHER
2019,26,VIOL OF BOND CONDITIONS
2019,25,VIOL CITY ORDINANCE - DOG
2020,25,ONLINE SOLICITATION OF A MINOR
2020,25,POSS/PROMO CHILD PORNOGRAPHY
2018,25,CIVIL DISTURBANCE/DEMO
2019,24,DUI - AGE 17 TO 20
2019,24,MURDER
2019,24,VOCO - ALCOHOL  CONSUMPTION
2018,24,MURDER
2018,24,CRIMINAL TRESPASS/IN VEHICLE
2018,23,VIOL OF BOND CONDITIONS
2018,23,PAROLE VIOL
2020,23,FORGERY BY ALTERATION
2019,23,DOC ABUSIVE LANGUAGE
2018,23,IDENTITY THEFT-TAX RETURNS
2019,23,AGG ROBBERY BY ASSAULT
2018,23,DEL SYNTHETIC MARIJUANA
2018,22,RETALIATION
2018,22,DOC OFFENSIVE GESTURE
2018,21,DEL CONTROLLED SUB/SYN NARC
2020,21,VIOL CITY ORDINANCE - DOG
2018,21,VIOL TEMP EX PARTE  ORDER
2018,21,NUISANCE ABATEMENT
2020,21,CRED CARD ABUSE BY FORGERY
2019,21,POSS OF PROHIBITED WEAPON
2018,21,THEFT BY CHECK
2019,20,DOC OFFENSIVE GESTURE
2018,20,DOC UNREASONABLE NOISE
2019,20,DOC UNREASONABLE NOISE
2019,20,THEFT BY CHECK
2019,20,VIOL OF CAMPING ORDINANCE
2020,20,TAMPERING WITH EVIDENCE
2018,20,FORGERY BY ALTERATION
2018,19,PUBLIC LEWDNESS
2019,19,TAMPERING WITH GOV RECORD
2019,19,URINATING IN PUBLIC PLACE
2018,19,URINATING IN PUBLIC PLACE
2020,19,THEFT BY EXTORTION
2019,19,NUISANCE ABATEMENT
2020,19,NUISANCE ABATEMENT
2019,19,FORGERY BY ALTERATION
2020,19,RETALIATION
2019,18,APPLIC TO REVOKE PROBATION
2018,18,CRASH/INTOXICATION ASSAULT
2018,18,PUBLIC INTOX-SOBERING CENTER
2019,18,VIOL TEMP EX PARTE  ORDER
2020,18,IMPERSONATING PUBLIC SERVANT
2019,18,INTERFERENCE PUBLIC DUTIES
2020,18,FRAUD-CARD SKIMMER
2018,17,FRAUD DESTRUCTION OF A WRITING
2020,17,DUI - AGE 17 TO 20
2018,17,VOCO - ALCOHOL  CONSUMPTION
2018,17,GAMBLING
2020,17,OBTAIN CONTROLLED SUB BY FRAUD
2018,17,APPLIC TO REVOKE PROBATION
2018,17,DOC ABUSIVE LANGUAGE
2019,17,PUBLIC LEWDNESS
2020,17,BOMB THREAT
2020,16,FEDERAL VIOL/OTHER
2020,16,CRASH/INTOXICATION ASSAULT
2018,16,AGG ASSAULT ON PUBLIC SERVANT
2019,16,FRAUD DESTRUCTION OF A WRITING
2020,16,FALSE STATEMENT -OBTAIN CREDIT
2019,15,AGG ASSAULT ON PUBLIC SERVANT
2018,15,INTERFERENCE PUBLIC DUTIES
2020,15,VIOL TEMP EX PARTE  ORDER
2020,15,DOC ABUSIVE LANGUAGE
2020,14,DOC OFFENSIVE GESTURE
2018,14,WEAPON VIOL - OTHER
2018,14,THEFT OF HEAVY EQUIPMENT
2019,14,LITTERING
2019,14,MISREP AGE BY MINOR
2019,14,MONEY LAUNDERING
2019,14,ASSAULT OF PREGNANT WM-FAM/DAT
2018,14,POSS OF ALCOHOL - AGE 17 TO 20
2019,14,FALSE STATEMENT -OBTAIN CREDIT
2020,13,HARBORING RUNAWAY CHILD
2018,13,KIDNAPPING
2018,13,AGG ROBBERY BY ASSAULT
2019,13,FORGERY OF IDENTIFICATION
2018,13,ILLUMIN AIRCRAFT INTENSE LIGHT
2019,13,THEFT- APPROPRIATE STOLEN PROP
2019,13,IMPERSONATING PUBLIC SERVANT
2019,13,THEFT BY EXTORTION
2018,13,UNLAWFUL CARRY-LIC HOLDER
2020,13,THEFT- APPROPRIATE STOLEN PROP
2019,13,THEFT OF HEAVY EQUIPMENT
2020,13,SEXUAL COERCION
2018,12,MISREP AGE BY MINOR
2020,12,FRAUD DESTRUCTION OF A WRITING
2019,12,SOLICITATION - BEGGING
2020,12,RIOT
2020,12,FORGERY OF IDENTIFICATION
2018,12,DISTRIB HARMFUL MATERIAL MINOR
2020,12,URINATING IN PUBLIC PLACE
2018,12,DOC ABUSE OR THREAT
2020,12,PAROLE VIOL
2019,12,THEFT CATALYTIC CONVERTER
2018,12,INHALANT ABUSE
2018,12,DEL MARIJUANA
2019,12,HARBORING RUNAWAY CHILD
2020,11,THEFT BY CHECK
2019,11,TAKE WEAPON FRM POLICE OFFICER
2018,11,VIOL STAY AWAY ORDER
2018,11,MONEY LAUNDERING
2019,11,PROBATION VIOL
2019,11,DUMPING REFUSE NEAR HIGHWAY
2019,11,VIOL CITY ORDINANCE - BOOTING
2018,11,CRIMINAL MISCHIEF BY ARSON
2018,10,TAKE WEAPON FRM POLICE OFFICER
2019,10,DISTRIB HARMFUL MATERIAL MINOR
2020,10,DUMPING REFUSE NEAR HIGHWAY
2019,10,SEXTING/TRANSMIT SEXUAL PHOTOS
2020,10,THEFT BY EMBEZZLEMENT
2018,10,OBTAIN DANG DRUG BY FRAUD
2019,10,PROWLER
2018,10,TAMPERING WITH GOV RECORD
2018,10,INTERFERE W PO SERVICE ANIMALS
2019,9,PROMOTION OF PROSTITUTION
2018,9,HINDERING APPREHENSION
2019,9,BOMB THREAT
2019,9,CRED CARD ABUSE - EXPIR-CANCEL
2018,9,JUSTIFIED HOMICIDE
2018,9,VIOL CITY ORDINANCE -  GAME RM
2020,9,POSS OF PROHIBITED WEAPON
2020,9,LITTERING
2018,9,MISAPPLY FIDUCIARY PROP
2019,9,CRIMES AGAINST ELDERLY
2019,9,OBSCENE DISPLAY - DISTRIBUTION
2018,9,THEFT BY FALSE PRETEXT/BUNCO
2019,8,DEL CONTROLLED SUB/SYN NARC
2020,8,CRED CARD ABUSE - EXPIR-CANCEL
2020,8,CRIMES AGAINST ELDERLY
2018,8,ABUSE OF 911
2018,8,IMPERSONATING PUBLIC SERVANT
2019,8,INTERFERE W PO SERVICE ANIMALS
2019,8,JUSTIFIED HOMICIDE
2018,8,OBSCENE DISPLAY - DISTRIBUTION
2018,8,PROBATION VIOL
2018,8,PURSE SNATCHING
2020,8,TAMPERING WITH GOV RECORD
2020,8,THEFT BY FALSE PRETEXT/BUNCO
2018,8,TRAFFICKING OF PERSONS
2020,8,VIOL CITY ORDINANCE - BOOTING
2019,8,VIOL STAY AWAY ORDER
2020,7,TAKE WEAPON FRM POLICE OFFICER
2020,7,PURSE SNATCHING
2019,7,VIOL CITY ORDINANCE -  GAME RM
2020,7,VIOL OF CAMPING ORDINANCE
2019,7,WEAPON VIOL - OTHER
2018,7,POSS OF ALCOHOL-AGE 16 & UNDER
2020,7,MISREP AGE BY MINOR
2019,7,CAMPING IN PARK
2019,7,PAROLE VIOL
2018,7,FORGERY- CERTIFICATE OF TITLE
2020,7,IDENTITY THEFT-TAX RETURNS
2018,7,DEL CONTROLLED SUB/OTHER
2018,7,HINDER SECURED CREDITORS
2018,7,THEFT BY EXTORTION
2020,7,AGG PROMOTION OF PROSTITUTION
2020,7,VOCO - ALCOHOL  CONSUMPTION
2020,7,AGG ROBBERY BY ASSAULT
2019,7,TRAFFICKING OF PERSONS
2019,7,POSS OF ALCOHOL-AGE 16 & UNDER
2018,7,LITTERING
2019,6,THEFT BY EMBEZZLEMENT
2019,6,TAMPERING WITH CONSUMER PROD
2018,6,THEFT BY EMBEZZLEMENT
2018,6,DUMPING REFUSE NEAR HIGHWAY
2018,6,THEFT- APPROPRIATE STOLEN PROP
2018,6,FALSE STATEMENT -OBTAIN CREDIT
2019,6,OBTAIN DANG DRUG BY FRAUD
2020,6,MONEY LAUNDERING
2020,6,POCKET PICKING
2020,6,PROWLER
2019,6,POSS CRIMINAL INSTRUMENT
2018,6,CAMPING IN PARK
2018,6,VIOL CITY ORDINANCE - SOUND
2018,6,CONTEMPT OF COURT
2020,6,UNLAWFUL CARRY-LIC HOLDER
2019,6,UNLAWFUL CARRY-LIC HOLDER
2020,6,UCW LICENSE PREMISE
2020,6,JUSTIFIED HOMICIDE
2019,6,ISSUANCE OF BAD CHECK
2019,6,INHALANT ABUSE
2018,6,DISPOSAL OF SOLID WASTE
2019,6,HINDERING APPREHENSION
2019,6,HINDER SECURED CREDITORS
2019,6,POSS OF ALCOHOL - AGE 17 TO 20
2019,6,SIT AND LIE ORDINANCE VIOL
2018,6,SOLICITATION - BEGGING
2019,6,DOC ABUSE OR THREAT
2019,5,DEL SYNTHETIC MARIJUANA
2020,5,DOC ABUSE OR THREAT
2019,5,CONTEMPT OF COURT
2020,5,CRASH/INTOX MANSLAUGHTER
2018,5,FORGERY OF IDENTIFICATION
2019,5,MISAPPLY FIDUCIARY PROP
2020,5,WEAPON VIOL - OTHER
2018,5,PROWLER
2019,5,THEFT BY FALSE PRETEXT/BUNCO
2019,5,FORGERY- CERTIFICATE OF TITLE
2018,5,TAMPERING WITH CONSUMER PROD
2020,5,VIOL STAY AWAY ORDER
2019,5,GAMBLING
2020,5,OBTAIN DANG DRUG BY FRAUD
2019,5,VIOL OF AGGRESSIVE CONFRONT
2020,5,TAMPERING WITH CONSUMER PROD
2019,5,ILLUMIN AIRCRAFT INTENSE LIGHT
2018,5,ESCAPE FROM CUSTODY
2020,5,PUBLIC LEWDNESS
2018,5,RECKLESS CONDUCT
2020,5,POSS OF ALCOHOL - AGE 17 TO 20
2018,5,OFFICIAL OPPRESSION
2019,5,AGG KIDNAPPING FAM VIO
2020,5,DUI - AGE 16 AND UNDER
2020,4,VIOL CITY ORDINANCE -  GAME RM
2018,4,PROMOTION OF PROSTITUTION
2020,4,PROBATION VIOL
2019,4,PURSE SNATCHING
2019,4,RECKLESS CONDUCT
2019,4,VIOL OF OBSTRUCTION ORDINANCE
2020,4,DISPOSAL OF SOLID WASTE
2019,4,KIDNAPPING
2018,4,CRED CARD ABUSE - EXPIR-CANCEL
2019,4,TRUANCY
2020,4,TRAFFICKING OF PERSONS
2020,4,INTERFERE W PO SERVICE ANIMALS
2020,4,INHALANT ABUSE
2018,4,HARBORING RUNAWAY CHILD
2019,4,CRIMINAL SOLICITATION OF MINOR
2020,4,AGG KIDNAPPING FAM VIO
2019,4,IDENTITY THEFT-TAX RETURNS
2020,4,DEL CONTROLLED SUB/SYN NARC
2019,4,DISPOSAL OF SOLID WASTE
2018,4,PIGEON DROP
2019,4,PERJURY
2019,4,VIOL CITY ORDINANCE -FIREWORK
2018,4,GAMBLING PROMOTION
2020,4,MISAPPLY FIDUCIARY PROP
2019,4,CAPITAL MURDER
2020,4,CAPITAL MURDER
2019,4,MISUSE OF OFFICIAL INFO
2018,3,POSS CRIMINAL INSTRUMENT
2019,3,MANSLAUGHTER
2018,3,MANSLAUGHTER
2018,3,MANF CONTROLLED SUB - OTHER
2019,3,KEEPING GAMBLING PLACE
2020,3,HINDERING APPREHENSION
2019,3,SECURING EXEC-DOC BY DECEPTION
2020,3,SECURING EXEC-DOC BY DECEPTION
2020,3,HINDER SECURED CREDITORS
2018,3,SIT AND LIE ORDINANCE VIOL
2018,3,SMUGGLING ILLEGAL ALIEN
2019,3,SMUGGLING ILLEGAL ALIEN
2020,3,GAMBLING
2019,3,TAMPERING WITH ID NUMBER
2020,3,TELECOMMUNICATION CRIMES/OTHER
2019,3,ESCAPE FROM CUSTODY
2019,3,DUI - AGE 16 AND UNDER
2018,3,DOC CREATING NOXIOUS ODOR
2020,3,DISTRIB HARMFUL MATERIAL MINOR
2020,3,DEL SYNTHETIC MARIJUANA
2020,3,DEL MARIJUANA
2019,3,DEL MARIJUANA
2020,3,CRIMINAL SOLICITATION OF MINOR
2018,3,TRUANCY
2018,3,UCW LICENSE PREMISE
2019,3,CRASH/INTOX MANSLAUGHTER
2018,3,CRASH/INTOX MANSLAUGHTER
2020,3,CONTROLLED SUB VIOL - OTHER
2018,3,CAPITAL MURDER
2020,3,VIOL OF AGGRESSIVE CONFRONT
2018,3,VIOL OF PARK CURFEW
2019,3,VIOL OF PARK CURFEW
2019,3,AIRPORT - BREACH OF SECURITY
2018,3,AIRPORT - BREACH OF SECURITY
2018,3,AGG PROMOTION OF PROSTITUTION
2020,2,DOMESTIC VIOLENCE/ALARM
2019,2,THEFT BY PUBLIC SERVANT
2018,2,DOC WINDOW PEEPING - HOTEL
2020,2,OBSCENE DISPLAY - DISTRIBUTION
2019,2,DISRUPTIVE ACTS AT SCHOOLS
2018,2,DEL OF ALCOHOL TO MINOR
2020,2,POSSESSION OF FORGED WRITING
2019,2,AGG PROMOTION OF PROSTITUTION
2020,2,ILLUMIN AIRCRAFT INTENSE LIGHT
2018,2,DANG DRUG VIOL - OTHER
2018,2,CRIMINAL SOLICITATION OF MINOR
2018,2,CRIMES AGAINST ELDERLY
2019,2,TOBACCO VIOL - UNDER AGE 17
2018,2,TRADEMARK COUNTERFEITING
2020,2,TRADEMARK COUNTERFEITING
2019,2,IMMIGRATION HOLD/ARREST
2018,2,ISSUANCE OF BAD CHECK
2018,2,POSSESSION OF FORGED WRITING
2020,2,TRUANCY
2019,2,UCW LICENSE PREMISE
2018,2,KEEPING GAMBLING PLACE
2020,2,KEEPING GAMBLING PLACE
2018,2,MAIL THEFT
2019,2,UNLAWFUL INTERCEPTION
2019,2,CONTROLLED SUB VIOL - OTHER
2020,2,RECKLESS CONDUCT
2020,2,PURCHASING PROSTITUTION
2019,2,PURCHASING PROSTITUTION
2019,2,COMPELLING PROSTITUTION
2018,2,COMPELLING PROSTITUTION
2020,2,MANF CONTROLLED SUB- SYN NARC
2020,2,POSS OF ALCOHOL-AGE 16 & UNDER
2019,2,VIOL CITY ORDINANCE - SOUND
2020,2,VIOL CITY ORDINANCE - TITLE 10
2020,2,MANF CONTROLLED SUB - OTHER
2020,2,MANSLAUGHTER
2020,2,VIOL CITY ORDINANCE -FIREWORK
2019,2,BOATING WHILE INTOXICATED
2018,2,BOATING WHILE INTOXICATED
2019,2,BANK KITING
2019,2,ASSAULT - SCHOOL PERSONNEL
2020,2,VIOL OF PARK CURFEW
2019,2,POSS OF PRESCRIPTION FORM
2019,2,TELECOMMUNICATION CRIMES/OTHER
2019,2,FIREARMS ON SCHOOL PROP
2018,2,TELECOMMUNICATION CRIMES/OTHER
2018,2,FALSE REPORT TO CPS
2020,2,ESCAPE FROM CUSTODY
2020,2,FORGERY- CERTIFICATE OF TITLE
2019,2,FRAUD FILING FINANCE STATEMENT
2020,2,FRAUD FILING FINANCE STATEMENT
2019,2,STAY AWAY ORDER
2018,2,DUI - AGE 16 AND UNDER
2018,2,STAY AWAY ORDER
2019,1,FALSE ID AS A PEACE OFFICER
2018,1,BAIL JUMPING/FAIL TO APPEAR
2020,1,KIDNAPPING
2020,1,FALSE CALLER ID DISPLAY/SPOOF
2018,1,CRASH/NEGLIGENT HOMICIDE
2019,1,MAKING TOBACCO AVAIL TO MINOR
2018,1,VOCO AMPLIFIED MUSIC/VEHICLE
2018,1,UNLAWFUL INTERCEPTION
2019,1,VOCO SOLICITATION PROHIBIT
2020,1,VOCO AMPLIFIED MUSIC/VEHICLE
2018,1,VOCO SOLICITATION PROHIBIT
2020,1,VIOL OF OBSTRUCTION ORDINANCE
2018,1,CONTROLLED SUB VIOL - OTHER
2020,1,CONTEMPT OF COURT
2019,1,PIGEON DROP
2020,1,PIGEON DROP
2018,1,TAMPERING WITH WITNESS
2018,1,PURCHASING PROSTITUTION
2018,1,ASSAULT - SCHOOL PERSONNEL
2020,1,MAKING TOBACCO AVAIL TO MINOR
2018,1,VIOL CITY ORDINANCE - CURFEW
2019,1,ARSON WITH BODILY INJURY
2019,1,COMMUNICATING GAMBLING INFO
2020,1,COMMERCIAL BRIBERY
2019,1,MANF CONTROLLED SUB- SYN NARC
2020,1,APPLIC TO REVOKE PROBATION
2020,1,AIRPORT - BREACH OF SECURITY
2019,1,VIOL CITY ORDINANCE - SMOKING
2020,1,ABUSE OF CORPSE
2019,1,MANF CONTROLLED SUB - OTHER
2019,1,DOMESTIC VIOLENCE/ALARM
2019,1,FALSE CALLER ID DISPLAY/SPOOF
2018,1,PRACTICE MEDICINE W/OUT LICENS
2019,1,GAMBLING PROMOTION
2020,1,HAZING
2020,1,CAMPING IN PARK
2019,1,VIOL CITY ORDINANCE - TAXI
2018,1,DISRUPTIVE ACTS AT SCHOOLS
2020,1,DISRUPTING MEETING/PROCESSION
2019,1,DISRUPTING MEETING/PROCESSION
2018,1,DISRUPTING MEETING/PROCESSION
2020,1,SMUGGLING ILLEGAL ALIEN
2018,1,SECURING EXEC-DOC BY DECEPTION
2019,1,SALE OR PURCHASE OF CHILD
2018,1,OBSCENITY
2020,1,SALE OF LIQ WITHOUT PERMIT
2019,1,DEL OF DANG DRUG
2020,1,DEL OF ALCOHOL TO MINOR
2018,1,VIOL CITY ORDINANCE - TITLE 10
2018,1,FRAUD FILING FINANCE STATEMENT
2020,1,POSS CRIMINAL INSTRUMENT
2020,1,SALE OF DXM TO MINOR
2020,1,DEL CONTROLLED SUB/OTHER
2020,1,MANF SYNTHETIC MARIJUANA
2020,1,DANG DRUG VIOL - OTHER
2018,1,BRIBERY
2020,1,POSS OF GAMBLING PARAPHERNALIA
2018,1,IMMIGRATION HOLD/ARREST
2018,1,VIOL CITY ORDINANCE -FIREWORK
2020,1,CRIMINAL SOLICITATION
2019,1,CRIMINAL SOLICITATION
2018,1,CRIMINAL SOLICITATION
2019,1,THEFT OF TELECOMMUNICATION SRV
2020,1,THEFT OF TELECOMMUNICATION SRV
2018,1,CRIMINAL CONSPIRACY
2020,1,VIOL STATE MASSAGE REGULATIONS
2019,1,CRIM NEG HOMICIDE/NON TRAFFIC
2019,1,THEFT/TILL TAPPING
2018,1,TOBACCO VIOL - UNDER AGE 17
2018,1,AGG KIDNAPPING FAM VIO
2020,1,TOBACCO VIOL - UNDER AGE 17
2018,1,MISUSE OF OFFICIAL INFO
2019,1,OFFICIAL OPPRESSION
2019,1,ABUSE OF CORPSE
2020,1,BOATING WHILE INTOXICATED
2019,1,AIDING SUICIDE
2020,1,FALSE ID AS A PEACE OFFICER
2020,1,ISSUANCE OF BAD CHECK
2019,1,BESTIALITY
2018,1,OFFICIAL MISCONDUCT
2020,1,MISUSE OF OFFICIAL INFO
